c1ccccc1,Frag_1.mol
c1nc[nH]n1,Frag_141.mol
C=C(N)C#N,Frag_142.mol
c1cnccn1,Frag_143.mol
CC(=N)[N+](=O)[O-],Frag_144.mol
C=C(N)N,Frag_145.mol
C=C1CCCN1,Frag_146.mol
C=C,Frag_147.mol
C=NNC,Frag_148.mol
CC(C)=NN,Frag_149.mol
C=C(C)NN,Frag_150.mol
C=NN,Frag_151.mol
CC(C)(N)CO,Frag_152.mol
CN(C)C(C)(C)C,Frag_153.mol
[O-][n+]1ccccc1,Frag_154.mol
C1=C\C=C/C=C\C=C/1,Frag_155.mol
CC(C)C(=N)N,Frag_156.mol
C1COC1,Frag_157.mol
C=C(C)N(C)N,Frag_158.mol
O=c1cccc[nH]1,Frag_159.mol
COC(N)=O,Frag_160.mol
CNC(=O)O,Frag_161.mol
NC(=O)O,Frag_162.mol
c1ccc2c(c1)CN2,Frag_163.mol
CNC(=N)N,Frag_164.mol
N=C1NCNCN1,Frag_165.mol
C=C(C)C(C)=N,Frag_166.mol
O=[N+]([O-])C1CC1,Frag_167.mol
C/C=C/N,Frag_168.mol
C=CN(C)C,Frag_169.mol
C1Cn2nnnc2N1,Frag_170.mol
N=C1CCCC1,Frag_171.mol
C=NO,Frag_172.mol
N=c1cccc[nH]1,Frag_173.mol
CN(C)O,Frag_174.mol
CN[N+](=O)[O-],Frag_175.mol
CC(=N)NN,Frag_176.mol
C1CN1,Frag_177.mol
C=C(C)C1CN1,Frag_178.mol
OCC1CN1,Frag_179.mol
CC(C)=N,Frag_180.mol
c1cn2c(n1)OCC2,Frag_181.mol
NN=C(N)N,Frag_182.mol
CN(N)C(=N)N,Frag_183.mol
N=C(N)N,Frag_184.mol
c1cn[nH]n1,Frag_185.mol
NN(N)N,Frag_186.mol
NNN,Frag_187.mol
CC(=O)N=N,Frag_188.mol
CN=[N+]=[N-],Frag_189.mol
C=C1C=CC=CC1=O,Frag_190.mol
C=CNC,Frag_191.mol
CN(N)[N+](=O)[O-],Frag_192.mol
O=C1NCCN1,Frag_193.mol
C1=CC2CC1C1CC21,Frag_194.mol
N#CC1(N)CC1,Frag_195.mol
CC1([N+](=O)[O-])CC1,Frag_196.mol
NC1CC1,Frag_197.mol
CC1CC1,Frag_198.mol
C1CC12CC2,Frag_199.mol
C/N=N/N,Frag_200.mol
CN(C)N=N,Frag_201.mol
N=NN,Frag_202.mol
CNC(C)=N,Frag_203.mol
CN(N)C#N,Frag_204.mol
CCOC,Frag_205.mol
CC(N)CO,Frag_206.mol
C/C(N)=C\N,Frag_207.mol
NCCN,Frag_208.mol
c1ncon1,Frag_209.mol
c1cnon1,Frag_210.mol
CC(=N)C(=N)N,Frag_211.mol
N=C(N)O,Frag_212.mol
N=CO,Frag_213.mol
C=C(N)NN,Frag_214.mol
O=c1cc[nH][nH]1,Frag_215.mol
C1CNCNC1,Frag_216.mol
C1CCNCNC1,Frag_217.mol
C=C1NCCCCN1,Frag_218.mol
NCC(=O)O,Frag_219.mol
O=c1cc[nH]c(=O)[nH]1,Frag_220.mol
CCC#N,Frag_221.mol
CC(N)C(C)O,Frag_222.mol
C=C(C)C(C)O,Frag_223.mol
CC(O)C(C)(C)N,Frag_224.mol
CC(C)(C)N,Frag_225.mol
[O-][n+]1ccno1,Frag_226.mol
N=C1NCCCCN1,Frag_227.mol
NCCO,Frag_228.mol
O=[N+]1C=CC(=[N+]([O-])[O-])C=C1,Frag_229.mol
C1CNCN1,Frag_230.mol
N=c1[nH]cn[nH]1,Frag_231.mol
N=NC(=N)N,Frag_232.mol
C/C=N/O,Frag_233.mol
C=C(C)CO,Frag_234.mol
C/C=[N+](/C)[O-],Frag_235.mol
C1COCOC1,Frag_236.mol
CC(C)(N)N=O,Frag_237.mol
CC(C)(O)O,Frag_238.mol
C#CCN,Frag_239.mol
C=CN(C)N,Frag_240.mol
C/C=N/N,Frag_241.mol
CC(C)(C)ON,Frag_242.mol
CCC(C)(C)O,Frag_243.mol
C1=NOCC1,Frag_244.mol
CC(C)(O)[N+](=O)[O-],Frag_245.mol
CC(N)(O)C#N,Frag_246.mol
CC(=N)C#N,Frag_247.mol
O=c1[nH]cn[nH]1,Frag_248.mol
CNC=O,Frag_249.mol
c1c[nH]nn1,Frag_250.mol
C1CCOC1,Frag_251.mol
CC(C)CN,Frag_252.mol
c1nn[nH]n1,Frag_253.mol
NCN(N)N,Frag_254.mol
c1cnoc1,Frag_255.mol
CC(=N)C(=O)O,Frag_256.mol
C/C=N\O,Frag_257.mol
C=C(O)C=N,Frag_258.mol
N=C(N)CO,Frag_259.mol
CC(=O)C=N,Frag_260.mol
CC=[N+]=[N-],Frag_261.mol
C1=CC1,Frag_262.mol
C=C(C)C1=CC1,Frag_263.mol
CC1([N+](=O)[O-])C=C1,Frag_264.mol
N#CC1(N)C=C1,Frag_265.mol
CC1C=C1,Frag_266.mol
NC1C=C1,Frag_267.mol
CN(N)N,Frag_268.mol
O=C1CNC(=O)CN1,Frag_269.mol
CC1(C)CC1,Frag_270.mol
NC(=O)C1(N)CC1,Frag_271.mol
CC(O)CN,Frag_272.mol
CN(C)C=N,Frag_273.mol
C/N=C/N,Frag_274.mol
C=NC(=C)C,Frag_275.mol
NNC(N)=O,Frag_276.mol
CC(=O)CN,Frag_277.mol
C1NCC2CC12,Frag_278.mol
CC(C)C(C)N,Frag_279.mol
CC(=O)NO,Frag_280.mol
CN=C=O,Frag_281.mol
C/C(N)=N/O,Frag_282.mol
C=C(C)C(=N)N,Frag_283.mol
[O-][n+]1ccn[nH]1,Frag_284.mol
C1CNCCN1,Frag_285.mol
C=C(N)C(=N)N,Frag_286.mol
CC(N)C(C)N,Frag_287.mol
C=CC(=N)N,Frag_288.mol
CC(C)(N)C#N,Frag_289.mol
CC(C)C(C)(C)N,Frag_290.mol
CC(C)C(C)C,Frag_291.mol
CC(N)C(C)(C)C,Frag_292.mol
C=C(C)C(C)(C)N,Frag_293.mol
C=CC(C)(C)N,Frag_294.mol
CC(C)(C)C(C)(C)C,Frag_295.mol
CC(C)(C)C(C)(C)N,Frag_296.mol
CC(C)(N)C(N)=O,Frag_297.mol
CCC(C)(C)N,Frag_298.mol
CC(N)(N)CN,Frag_299.mol
CC(C)(N)N,Frag_300.mol
C/N=C(\C)N,Frag_301.mol
C=C(N)N(C)C,Frag_302.mol
CC(=N)N(C)C,Frag_303.mol
NC=C(N)N,Frag_304.mol
C/N=C(/C)N,Frag_305.mol
C/C(N)=C(\C)O,Frag_306.mol
C=NC(=C)N,Frag_307.mol
CN=C(N)N,Frag_308.mol
C=C(C)C(=C)N,Frag_309.mol
C/C(N)=N\N,Frag_310.mol
CN(N)C=N,Frag_311.mol
N/N=N\N,Frag_312.mol
N/C=N\N,Frag_313.mol
C=NN=N,Frag_314.mol
C=CNN,Frag_315.mol
CNC(C)O,Frag_316.mol
NC(O)C(N)O,Frag_317.mol
C=C(N)NC,Frag_318.mol
NC(N)=C(N)N,Frag_319.mol
N=CNN,Frag_320.mol
C/N=C\N,Frag_321.mol
C=NC(=N)N,Frag_322.mol
CC(N)=C(N)N,Frag_323.mol
N=C(N)C(=N)N,Frag_324.mol
C=C(N)C(=C)N,Frag_325.mol
C=NN(C)C,Frag_326.mol
C=C(N)C=N,Frag_327.mol
C/C=N\N,Frag_328.mol
C=C(N)CC,Frag_329.mol
CC(C)(N)CN,Frag_330.mol
C/C=[N+](\C)[O-],Frag_331.mol
C=C[N+](=C)[O-],Frag_332.mol
CC(C)=CN,Frag_333.mol
C=[N+](C)[O-],Frag_334.mol
C=C(C)C(=C)O,Frag_335.mol
C=CC(N)=O,Frag_336.mol
C/C(N)=C(/C)N,Frag_337.mol
N=C(N)NN,Frag_338.mol
CNCN,Frag_339.mol
C=CC(C)=N,Frag_340.mol
C=C(C)[N+](=C)[O-],Frag_341.mol
C=CC=N,Frag_342.mol
C=C(O)N(C)C,Frag_343.mol
NC(N)=C(N)O,Frag_344.mol
CC(=N)C(C)(N)N,Frag_345.mol
CCC(C)(N)N,Frag_346.mol
CC(C)=NO,Frag_347.mol
CCC(C)=N,Frag_348.mol
CNC=N,Frag_349.mol
CC(=N)N(C)O,Frag_350.mol
C=CN(C)O,Frag_351.mol
C/C(N)=[N+](\C)[O-],Frag_352.mol
C=C(C)C(C)N,Frag_353.mol
C=C(N)C(C)=N,Frag_354.mol
C/N=C(\N)O,Frag_355.mol
COC(=N)N,Frag_356.mol
CN(C)C(=N)O,Frag_357.mol
C=C(N)C(N)=O,Frag_358.mol
C=NN(N)N,Frag_359.mol
C=CC(C)=O,Frag_360.mol
C=CN(N)N,Frag_361.mol
C=NN(C)N,Frag_362.mol
CN(N)C(N)=O,Frag_363.mol
NC(N)=O,Frag_364.mol
C=CC(C)C,Frag_365.mol
CCC(C)(C)C,Frag_366.mol
CC(C)N(C)C,Frag_367.mol
C=NC(C)=N,Frag_368.mol
C=NOC,Frag_369.mol
C/N=C(/N)O,Frag_370.mol
N=C(N)ON,Frag_371.mol
C=NON,Frag_372.mol
C/C(N)=N\O,Frag_373.mol
NON,Frag_374.mol
C=C(N)N(C)N,Frag_375.mol
CNNC,Frag_376.mol
CNC(N)=O,Frag_377.mol
CN(C)C(N)=O,Frag_378.mol
CC(C)=[N+]([O-])O,Frag_379.mol
C=[N+]([O-])ON,Frag_380.mol
C=[N+]([O-])O,Frag_381.mol
C=NNN,Frag_382.mol
C/C(N)=C(\N)O,Frag_383.mol
C=C(O)NC,Frag_384.mol
CC(N)(N)CO,Frag_385.mol
COC(C)(C)O,Frag_386.mol
CC(C)(O)CN,Frag_387.mol
CC(C)(C)O,Frag_388.mol
CC(C)(N)ON,Frag_389.mol
CC(C)(C)C(C)(N)O,Frag_390.mol
CC(=N)C(C)(C)C,Frag_391.mol
CC(C)(N)O,Frag_392.mol
CNN=N,Frag_393.mol
C=C(N)N=N,Frag_394.mol
C/N=N\N,Frag_395.mol
CC(C)CO,Frag_396.mol
CN(N)N=N,Frag_397.mol
C=C(N)ON,Frag_398.mol
C/C=C(/C)O,Frag_399.mol
C=NC(=C)O,Frag_400.mol
CC(C)=[N+](C)[O-],Frag_401.mol
N=C(N)N(N)N,Frag_402.mol
CC(=O)N(C)N,Frag_403.mol
NCC(N)=O,Frag_404.mol
CN(C)C(=N)N,Frag_405.mol
N/C=C\N,Frag_406.mol
CC(N)C(C)(C)N,Frag_407.mol
CC(O)C(C)(N)N,Frag_408.mol
CC(O)C(O)O,Frag_409.mol
CN(C)CN,Frag_410.mol
C/C(N)=[N+](\N)[O-],Frag_411.mol
C=[N+]([O-])N(C)N,Frag_412.mol
C=[N+](N)[O-],Frag_413.mol
CC(N)CN,Frag_414.mol
C=C(C)C(C)C,Frag_415.mol
C1=CCCCC1,Frag_416.mol
C=C(C)C(C)(C)C,Frag_417.mol
C=C(O)C(N)=O,Frag_418.mol
C=CC=O,Frag_419.mol
C=C(C)C=O,Frag_420.mol
CC(=O)OO,Frag_421.mol
COOC,Frag_422.mol
COO,Frag_423.mol
C1CCCCC1,Frag_424.mol
C=C(O)C=O,Frag_425.mol
C=C(O)CO,Frag_426.mol
CC(C)(C)C(=O)O,Frag_427.mol
C1CCOCC1,Frag_428.mol
C/C=C/C,Frag_429.mol
CC(C)=C(C)O,Frag_430.mol
CCC(C)O,Frag_431.mol
COC(C)C,Frag_432.mol
