LogFile,HOF_Raw,HOF_Correct
B3LYP6-31Gdp.MIYDII.log,-292.86,-345.92
B3LYP6-31Gdp.MNIANL05.log,75.17,48.03
B3LYP6-31Gdp.MNIMET.log,-90.93,-124.43
B3LYP6-31Gdp.MNPYDO29.log,84.65,57.71
B3LYP6-31Gdp.MOTJOU.log,-17.22,-29.31
B3LYP6-31Gdp.MUTSAW.log,-131.77,-183.64
B3LYP6-31Gdp.MUZNEC.log,203.34,208.93
B3LYP6-31Gdp.NABMOS.log,93.98,100.05
B3LYP6-31Gdp.NAGGOU.log,446.39,429.82
B3LYP6-31Gdp.NANILI29.log,65.41,38.28
B3LYP6-31Gdp.NAPHAP.log,562.91,545.3
B3LYP6-31Gdp.NBARBA.log,-499.29,-542.31
B3LYP6-31Gdp.NIMFOE.log,-270.77,-292.26
B3LYP6-31Gdp.NIPHAZ.log,396.17,376.08
B3LYP6-31Gdp.NIPYAZ.log,252.96,269.43
B3LYP6-31Gdp.NITBAL02.log,108.03,71.56
B3LYP6-31Gdp.NIVPAJ.log,-96.85,-155.9
B3LYP6-31Gdp.NMBZAX.log,112.8,81.65
B3LYP6-31Gdp.NTBZAM01.log,-91.09,-129.07
B3LYP6-31Gdp.NTPYRO11.log,113.28,89.6
B3LYP6-31Gdp.NUQJEP.log,109.41,72.95
B3LYP6-31Gdp.OJOLAC.log,-258.33,-299.09
B3LYP6-31Gdp.ONBZAM.log,-65.31,-103.01
B3LYP6-31Gdp.ONITAN02.log,62.04,29.5
B3LYP6-31Gdp.OROYUR.log,96.37,41.85
B3LYP6-31Gdp.OXIRUK.log,476.37,447.07
B3LYP6-31Gdp.OXISEV.log,289.22,288.55
B3LYP6-31Gdp.PEMCAM06.log,140.43,108.82
B3LYP6-31Gdp.PESJIH.log,203.18,191.49
B3LYP6-31Gdp.PIZHAH.log,43.11,29.44
B3LYP6-31Gdp.POQFOS.log,-295.41,-338.06
B3LYP6-31Gdp.QAQPIH.log,369.16,281.52
B3LYP6-31Gdp.QIKDAP.log,55.99,16.93
B3LYP6-31Gdp.QIKDET.log,66.8,28.99
B3LYP6-31Gdp.QOYJOD06.log,-9.58,-27.42
B3LYP6-31Gdp.QQQFNG02.log,44.15,0.93
B3LYP6-31Gdp.QUZNUV.log,-104.42,-141.56
B3LYP6-31Gdp.RAMVUW.log,264.83,274.94
B3LYP6-31Gdp.RIKNOO.log,175.23,167.11
B3LYP6-31Gdp.RIRMAH.log,73.01,41.93
B3LYP6-31Gdp.RIYTID.log,194.16,144.37
B3LYP6-31Gdp.ROFGAV.log,207.48,156.74
B3LYP6-31Gdp.RUGJUZ.log,149.46,143.46
B3LYP6-31Gdp.SAMROP.log,-107.68,-135.57
B3LYP6-31Gdp.SAQZAK.log,345.95,350.42
B3LYP6-31Gdp.SAWNAH.log,-222.13,-233.26
B3LYP6-31Gdp.SEGFAL.log,214.98,201.94
B3LYP6-31Gdp.SEGRUR.log,107.04,83.1
B3LYP6-31Gdp.SIYWIH.log,24.83,-22.33
B3LYP6-31Gdp.SOJGED01.log,4.67,-20.3
B3LYP6-31Gdp.SONDEE01.log,-248.25,-273.77
B3LYP6-31Gdp.SORBEG.log,290.33,262.78
B3LYP6-31Gdp.SORBUW.log,238.29,189.35
B3LYP6-31Gdp.SOXNEA.log,219.42,192.5
B3LYP6-31Gdp.TAFTOJ.log,-40.75,-67.28
B3LYP6-31Gdp.TANHAR.log,521.98,424.49
B3LYP6-31Gdp.TECSAX.log,31.99,7.04
B3LYP6-31Gdp.TECSEB.log,55.25,27.17
B3LYP6-31Gdp.TEHGUI.log,29.65,-6.26
B3LYP6-31Gdp.TENZOD.log,403.89,403.38
B3LYP6-31Gdp.TENZUJ.log,312.33,327.53
B3LYP6-31Gdp.TEVHEH01.log,135.53,117.04
B3LYP6-31Gdp.TISJUB.log,-239.65,-288.21
B3LYP6-31Gdp.TITKUC.log,35.39,15.15
B3LYP6-31Gdp.TIXQUM.log,40.22,6.7
B3LYP6-31Gdp.TOQMUH01.log,202.58,190.88
B3LYP6-31Gdp.TUQHET.log,-310.71,-359.96
B3LYP6-31Gdp.UFUXOI.log,157.56,144.16
B3LYP6-31Gdp.UGUHEJ.log,-112.13,-141.45
B3LYP6-31Gdp.VACRAT.log,137.5,114.66
B3LYP6-31Gdp.VAZCAC01.log,340.92,326.92
B3LYP6-31Gdp.VEGHEU.log,-123.68,-109.53
B3LYP6-31Gdp.VIKVUG.log,120.75,2.47
B3LYP6-31Gdp.VIKWAN.log,-207.36,-320.78
B3LYP6-31Gdp.VOQJER.log,25.19,-9.68
B3LYP6-31Gdp.VUBZUN.log,23.78,16.94
B3LYP6-31Gdp.VUXLUV.log,-197.42,-250.98
B3LYP6-31Gdp.VUYKUV.log,124.86,113.66
B3LYP6-31Gdp.WASRAJ.log,161.52,129.73
B3LYP6-31Gdp.WERVEU02.log,-69.58,-89.54
B3LYP6-31Gdp.WIGTOX.log,-73.47,-97.21
B3LYP6-31Gdp.WOBLUU.log,203.55,195.86
B3LYP6-31Gdp.WOQXOR.log,-79.54,-131.24
B3LYP6-31Gdp.WOVXOU.log,262.56,227.22
B3LYP6-31Gdp.WUKZIL.log,186.27,186.32
B3LYP6-31Gdp.WUMHES.log,-125.16,-219.05
B3LYP6-31Gdp.XAVMOW.log,-90.26,-133.4
B3LYP6-31Gdp.XEKWIW.log,8.9,-22.25
B3LYP6-31Gdp.XUCJEM.log,107.89,105.57
B3LYP6-31Gdp.YALQEK.log,203.41,214.53
B3LYP6-31Gdp.YEYMAR.log,92.57,47.66
B3LYP6-31Gdp.YIKBUP.log,-467.37,-542.8
B3LYP6-31Gdp.YODHUV.log,111.01,89.82
B3LYP6-31Gdp.YOVJUP.log,65.17,41.05
B3LYP6-31Gdp.YUYCOK.log,10.7,-14.74
B3LYP6-31Gdp.ZELQOW.log,238.22,244.48
B3LYP6-31Gdp.ZERJIR.log,176.88,145.53
B3LYP6-31Gdp.ZEVQUM.log,90.65,78.03
B3LYP6-31Gdp.ZUGPOG.log,216.39,165.52
B3LYP6-31Gdp.ZUGPOJ.log,287.23,229.45
B3LYP6-31Gdp.ZZZFYW01.log,110.64,81.92
B3LYP6-31Gdp.ZZZGVU01.log,40.37,5.99
B3LYP6-31Gdp.ZZZJIQ02.log,53.63,20.11
B3LYP6-31Gdp.ZZZLYS01.log,-319.36,-379.2
B3LYP6-31Gdp.ZZZQSC01.log,61.83,24.42
B3LYP6-31Gdp.ZZZTLC01.log,51.13,57.45
G4.ACOWIY.log,74.76,74.76
G4.ACOWOE.log,-78.82,-78.82
G4.AFAZUD.log,-0.22,-0.22
G4.AFEXEP.log,-155.8,-155.8
G4.AFOVUP.log,64.31,64.31
G4.AMNPHA.log,-119.89,-119.89
G4.AMNTPY.log,89.41,89.41
G4.ARIFUD.log,-144.86,-144.86
G4.BABBUB.log,96.65,96.65
G4.BANFIG.log,-4.19,-4.19
G4.BAZPIC.log,67.76,67.76
G4.BAZPOI.log,60.41,60.41
G4.BAZPUO.log,-63.51,-63.51
G4.BUGKIY.log,243.91,243.91
G4.BUXJAH.log,377.26,377.26
G4.CASBOQ01.log,554.38,554.38
G4.CASYIG01.log,-312.68,-312.68
G4.CEDZUG.log,534.06,534.06
G4.CIFROY.log,203.54,203.54
G4.CIJYIE.log,224.09,224.09
G4.CIWMAW01.log,107.29,107.29
G4.CIWMEA10.log,96.2,96.2
G4.CUZDEG.log,39.97,39.97
G4.CUZMOZ.log,150.0,150.0
G4.CUZMUF.log,144.51,144.51
G4.DAFBOB.log,2.11,2.11
G4.DATGEL.log,-9.03,-9.03
G4.DELPEQ.log,165.18,165.18
G4.DIDHIJ.log,-238.85,-238.85
G4.DIMNAN03.log,64.31,64.31
G4.DIXDUJ.log,-131.23,-131.23
G4.DMNPYO.log,49.72,49.72
G4.DNBENZ10.log,46.68,46.68
G4.DNCOOC.log,251.75,251.75
G4.DNITPY.log,121.19,121.19
G4.DNOPHL03.log,-106.18,-106.18
G4.DNPHOL.log,-116.17,-116.17
G4.DNPIMZ.log,111.77,111.77
G4.DUJQOP.log,-327.92,-327.92
G4.DUMPEG.log,-286.7,-286.7
G4.ECIBIB01.log,131.51,131.51
G4.EKELAH.log,184.62,184.62
G4.ELOXOS.log,-87.0,-87.0
G4.ERIWIL.log,-153.11,-153.11
G4.ERUDAX.log,-311.57,-311.57
G4.ESIRIJ.log,244.07,244.07
G4.EVIXEM.log,-18.02,-18.02
G4.EWEVIM02.log,-325.46,-325.46
G4.EWUKAI.log,-136.01,-136.01
G4.EWUKIQ01.log,168.09,168.09
G4.EZESUY.log,257.93,257.93
G4.FESNEW16.log,-89.23,-89.23
G4.FESNIA01.log,-60.75,-60.75
G4.FEXBUF.log,58.92,58.92
G4.FICDOK.log,-34.3,-34.3
G4.FOHMUK.log,11.66,11.66
G4.FUHSEG.log,281.83,281.83
G4.FUXNAN.log,59.83,59.83
G4.GADFID.log,155.89,155.89
G4.GARBUY.log,-333.88,-333.88
G4.GEDYEU.log,472.68,472.68
G4.GIZSOX.log,-55.84,-55.84
G4.GULGAV.log,143.21,143.21
G4.HABMAZ.log,130.05,130.05
G4.HABMED.log,123.85,123.85
G4.HACVAL.log,10.15,10.15
G4.HAWSOO.log,5.07,5.07
G4.HEHTUJ.log,119.23,119.23
G4.HEHVAR.log,118.46,118.46
G4.HNIMOZ.log,21.62,21.62
G4.HOFDOV01.log,180.14,180.14
G4.IDEHAD.log,-103.69,-103.69
G4.IJIVEC.log,170.08,170.08
G4.IJIVIG.log,191.4,191.4
G4.IMIVOP.log,226.67,226.67
G4.INEZUY.log,342.57,342.57
G4.ISAJAN.log,246.32,246.32
G4.ISAJER.log,221.72,221.72
G4.ISAYAC02.log,33.59,33.59
G4.IVEREH.log,-81.9,-81.9
G4.JABLUW01.log,620.35,620.35
G4.JABMAD01.log,640.34,640.34
G4.JACYOB.log,-119.27,-119.27
G4.JEDSUG.log,-27.26,-27.26
G4.JEJZAA.log,186.52,186.52
G4.JERVUY.log,-69.56,-69.56
G4.JILKEU.log,374.93,374.93
G4.JIZJIL.log,65.57,65.57
G4.JOHBUD01.log,136.95,136.95
G4.JOLNED.log,293.25,293.25
G4.JOWWIB.log,191.72,191.72
G4.JUMFAA.log,-130.97,-130.97
G4.KAHHUY.log,179.66,179.66
G4.KAJFAD.log,54.06,54.06
G4.KASBAH.log,312.95,312.95
G4.KAVFUI01.log,208.1,208.1
G4.KAXLOK.log,-173.58,-173.58
G4.KAYTUZ.log,68.04,68.04
G4.KEFYOK.log,21.32,21.32
G4.KIBSAS01.log,316.34,316.34
G4.KIKNEY.log,216.27,216.27
G4.KOBXOO.log,-6.56,-6.56
G4.KOFKAR.log,58.13,58.13
G4.KOFKEV.log,38.33,38.33
G4.KOMHAV.log,116.19,116.19
G4.KOTSIV.log,-102.39,-102.39
G4.KOVHAE.log,42.0,42.0
G4.KOVHIM.log,15.73,15.73
G4.LAHCEC.log,-307.15,-307.15
G4.LEHNIW.log,-292.55,-292.55
G4.LEKHUE.log,27.86,27.86
G4.LOJBAN.log,11.68,11.68
G4.LOJBER.log,-10.12,-10.12
G4.LOJKAX.log,173.06,173.06
G4.LOLFEX.log,-102.69,-102.69
G4.LORNAI.log,153.76,153.76
G4.LUHPAF.log,-107.22,-107.22
G4.MADKOT.log,-136.54,-136.54
G4.MADKUZ.log,-173.1,-173.1
G4.MENFXN.log,173.28,173.28
G4.MENOIM.log,69.73,69.73
G4.MIYDII.log,-316.29,-316.29
G4.MNIANL05.log,61.28,61.28
G4.MNIMET.log,-111.46,-111.46
G4.MNPYDO29.log,80.63,80.63
G4.MOTJOU.log,-23.17,-23.17
G4.MUTSAW.log,-142.12,-142.12
G4.MUZNEC.log,206.72,206.72
G4.NABMOS.log,100.39,100.39
G4.NAGGOU.log,428.79,428.79
G4.NANILI29.log,55.84,55.84
G4.NAPHAP.log,576.15,576.15
G4.NBARBA.log,-509.18,-509.18
G4.NIMFOE.log,-282.16,-282.16
G4.NIPHAZ.log,387.6,387.6
G4.NIPYAZ.log,253.77,253.77
G4.NITBAL02.log,86.02,86.02
G4.NIVPAJ.log,-123.91,-123.91
G4.NMBZAX.log,101.21,101.21
G4.NTBZAM01.log,-117.01,-117.01
G4.NTPYRO11.log,110.12,110.12
G4.NUQJEP.log,86.33,86.33
G4.OJOLAC.log,-306.65,-306.65
G4.ONBZAM.log,-100.94,-100.94
G4.ONITAN02.log,57.06,57.06
G4.OROYUR.log,62.51,62.51
G4.OXIRUK.log,444.71,444.71
G4.OXISEV.log,281.0,281.0
G4.PEMCAM06.log,131.41,131.41
G4.PESJIH.log,210.3,210.3
G4.PIZHAH.log,37.28,37.28
G4.POQFOS.log,-312.65,-312.65
G4.QAQPIH.log,287.36,287.36
G4.QIKDAP.log,51.58,51.58
G4.QIKDET.log,45.72,45.72
G4.QOYJOD06.log,-11.72,-11.72
G4.QQQFNG02.log,34.67,34.67
G4.QUZNUV.log,-132.92,-132.92
G4.RAMVUW.log,264.92,264.92
G4.RIKNOO.log,169.26,169.26
G4.RIRMAH.log,57.55,57.55
G4.RIYTID.log,160.53,160.53
G4.ROFGAV.log,174.27,174.27
G4.RUGJUZ.log,133.21,133.21
G4.SAMROP.log,-112.23,-112.23
G4.SAQZAK.log,334.38,334.38
G4.SAWNAH.log,-241.38,-241.38
G4.SEGFAL.log,207.4,207.4
G4.SEGRUR.log,99.57,99.57
G4.SIYWIH.log,23.43,23.43
G4.SOJGED01.log,-13.87,-13.87
G4.SONDEE01.log,-279.5,-279.5
G4.SORBEG.log,264.32,264.32
G4.SORBUW.log,201.64,201.64
G4.SOXNEA.log,193.97,193.97
G4.TAFTOJ.log,-53.94,-53.94
G4.TANHAR.log,465.76,465.76
G4.TECSAX.log,28.28,28.28
G4.TECSEB.log,45.64,45.64
G4.TEHGUI.log,24.53,24.53
G4.TENZOD.log,393.68,393.68
G4.TENZUJ.log,320.19,320.19
G4.TEVHEH01.log,122.68,122.68
G4.TISJUB.log,-263.78,-263.78
G4.TITKUC.log,40.32,40.32
G4.TIXQUM.log,23.57,23.57
G4.TOQMUH01.log,208.16,208.16
G4.TUQHET.log,-332.72,-332.72
G4.UFUXOI.log,161.93,161.93
G4.UGUHEJ.log,-128.06,-128.06
G4.VACRAT.log,135.6,135.6
G4.VAZCAC01.log,337.5,337.5
G4.VEGHEU.log,-138.4,-138.4
G4.VIKVUG.log,71.14,71.14
G4.VIKWAN.log,-257.47,-257.47
G4.VOQJER.log,5.91,5.91
G4.VUBZUN.log,24.09,24.09
G4.VUXLUV.log,-231.32,-231.32
G4.VUYKUV.log,128.65,128.65
G4.WASRAJ.log,156.59,156.59
G4.WERVEU02.log,-75.6,-75.6
G4.WIGTOX.log,-92.3,-92.3
G4.WOBLUU.log,186.36,186.36
G4.WOQXOR.log,-102.5,-102.5
G4.WOVXOU.log,232.49,232.49
G4.WUKZIL.log,189.99,189.99
G4.WUMHES.log,-181.31,-181.31
G4.XAVMOW.log,-122.4,-122.4
G4.XEKWIW.log,-8.02,-8.02
G4.XUCJEM.log,104.6,104.6
G4.YALQEK.log,213.73,213.73
G4.YEYMAR.log,61.97,61.97
G4.YIKBUP.log,-544.48,-544.48
G4.YODHUV.log,121.06,121.06
G4.YOVJUP.log,66.12,66.12
G4.YUYCOK.log,-7.43,-7.43
G4.ZELQOW.log,256.1,256.1
G4.ZERJIR.log,172.93,172.93
G4.ZEVQUM.log,84.43,84.43
G4.ZUGPOG.log,180.44,180.44
G4.ZUGPOJ.log,238.85,238.85
G4.ZZZFYW01.log,78.41,78.41
G4.ZZZGVU01.log,19.21,19.21
G4.ZZZJIQ02.log,38.52,38.52
G4.ZZZLYS01.log,-337.04,-337.04
G4.ZZZQSC01.log,32.31,32.31
G4.ZZZTLC01.log,55.09,55.09
